Clave,Valor,,Clave,Valor,,Clave,Valor,,Clave,Valor,,Ancho,Largo,Codigo,,Ancho,Largo,Codigo,,Ancho,Largo,Codigo,,,Ancho,Largo,Codigo,,,Ancho,Largo,Codigo,,Ancho,Largo,Codigo
0,,,LINOLEO,LIN,,LINOLEO,PLY,,1,I,,50,598,T1260,,396,642,L396642,,396,642,E4064,,,200,600,B2060,,,198,798,P2080,,198,798,C2080
1,Pill,,LAMINADO,LAM,,LAMINADO,PLY,,2,D,,120,800,T1280,,396,880,L396880,,396,842,E4084,,,200,800,B2080,,,258,798,P2680,,298,798,C3080
2,Round,,WOOD,WOO,,LACA,MDF,,,,,120,1050,T121050,,396,900,,,396,1242,E40124,,,200,1200,B20120,,,298,598,P3060,,398,98,C4010
3,Square,,LACA,LAC,,WOOD,MDF,,,,,120,2000,T122000,,396,1050,L3961050,,396,1642,E40164,,,,,,,,298,649,P3065,,398,198,C4020
4,Curve,,WOOD horizontal,WOO,,WOOD horizontal,MDF,,,,,120,2200,T122200,,396,1242,L3961242,,396,1842,E40184,,,,,,,,298,798,P3080,,398,398,C4040
5,Line,,,,,,,,,,,120,2400,T122400,,396,1642,L3961642,,396,2400,E40240,,,,,,,,298,849,P3085,,398,798,C4080
6,Superline,,,,,,,,,,,120,2080,T12208,,396,1842,L3961842,,416,1860,E42186,,,,,,,,398,398,P4040,,446,398,C4540LVV
7,Plantea,,,,,,,,,,,120,2280,T12228,,396,2200,L3962200,,416,2400,E42240,,,,,,,,398,449,P4045,,598,98,C6010
8,Seta,,,,,,,,,,,120,2480,T12248,,396,2400,L3962400,,623,1860,E62186,,,,,,,,398,598,P4060,,598,198,C6020
9,,,,,,,,,,,,200,1050,T201050,,396,3000,L3963000,,623,2400,E62240,,,,,,,,398,649,P4065,,596,198,C6020LVV
9.1,Pill,,,,,,,,,,,200,2000,T202000,,400,642,L400642,,646,1860,E65186,,,,,,,,398,798,P4080,,598,148,C6015H
9.2,Round,,,,,,,,,,,200,2080,T20208,,400,880,L400880,,646,2400,E65240,,,,,,,,398,849,P4085,,598,298,C6030H
9.3,Square,,,,,,,,,,,200,2200,T202200,,400,900,L400900,,1000,1000,E100100,,,,,,,,398,998,P40100,,598,398,C6040
10,U‑Shape,,,,,,,,,,,200,2280,T20228,,400,1050,L4001050,,1260,1000,E126100,,,,,,,,398,1198,P40120,,596,398,C6040LVV
,,,,,,,,,,,,200,2400,T202400,,400,1242,L4001242,,,,,,,,,,,,398,1398,P40140,,598,598,C6060
,,,,,,,,,,,,200,2480,T20248,,400,1642,L4001642,,,,,,,,,,,,398,1598,P40160,,598,798,C6080
,,,,,,,,,,,,120,2012,PAXT12201,,400,1842,L4001842,,,,,,,,,,,,398,1798,P40180,,798,98,C8010
,,,,,,,,,,,,120,2364,PAXT12236,,400,2200,L4002200,,,,,,,,,,,,398,1998,P40200,,798,198,C8020
,,,,,,,,,,,,,,,,400,2400,L4002400,,,,,,,,,,,,448,398,P4540,,798,398,C8040
,,,,,,,,,,,,,,,,400,3000,L4003000,,,,,,,,,,,,448,598,P4560,,798,598,C8060
,,,,,,,,,,,,,,,,623,400,L623400,,,,,,,,,,,,448,648,P4565,,,,
