Tipologia,Ancho,Largo
T,50.0,598.0
T,120.0,800.0
T,120.0,1050.0
T,120.0,2000.0
T,120.0,2200.0
T,120.0,2400.0
T,120.0,2080.0
T,120.0,2280.0
T,120.0,2480.0
T,200.0,1050.0
T,200.0,2000.0
T,200.0,2080.0
T,200.0,2200.0
T,200.0,2280.0
T,200.0,2400.0
T,200.0,2480.0
T,120.0,2012.0
T,120.0,2364.0
L,396.0,642.0
L,396.0,880.0
L,396.0,900.0
L,396.0,1050.0
L,396.0,1242.0
L,396.0,1642.0
L,396.0,1842.0
L,396.0,2200.0
L,396.0,2400.0
L,396.0,3000.0
L,400.0,642.0
L,400.0,880.0
L,400.0,900.0
L,400.0,1050.0
L,400.0,1242.0
L,400.0,1642.0
L,400.0,1842.0
L,400.0,2200.0
L,400.0,2400.0
L,400.0,3000.0
L,623.0,400.0
L,623.0,800.0
L,623.0,880.0
L,623.0,900.0
L,623.0,1600.0
L,623.0,2000.0
L,623.0,2080.0
L,623.0,2200.0
L,623.0,2280.0
L,623.0,2400.0
L,603.0,880.0
L,603.0,900.0
L,627.0,400.0
L,627.0,800.0
L,627.0,880.0
L,627.0,900.0
L,627.0,1600.0
L,627.0,2000.0
L,627.0,2080.0
L,627.0,2200.0
L,627.0,2280.0
L,627.0,2400.0
L,646.0,800.0
L,646.0,880.0
L,646.0,900.0
L,416.0,800.0
L,416.0,880.0
L,416.0,900.0
L,375.0,2012.0
L,605.0,2012.0
L,375.0,2364.0
L,605.0,2364.0
L,375.0,600.0
L,605.0,600.0
L,623.0,2480.0
L,200.0,600.0
L,200.0,1200.0
L,605.0,600.0
E,396.0,642.0
E,396.0,842.0
E,396.0,1242.0
E,396.0,1642.0
E,396.0,1842.0
E,396.0,2400.0
E,416.0,1860.0
E,416.0,2400.0
E,623.0,1860.0
E,623.0,2400.0
E,646.0,1860.0
E,646.0,2400.0
E,1000.0,1000.0
E,1260.0,1000.0
B,200.0,600.0
B,200.0,800.0
B,200.0,1200.0
P,198.0,798.0
P,258.0,798.0
P,298.0,598.0
P,298.0,649.0
P,298.0,798.0
P,298.0,849.0
P,398.0,398.0
P,398.0,449.0
P,398.0,598.0
P,398.0,649.0
P,398.0,798.0
P,398.0,849.0
P,398.0,998.0
P,398.0,1198.0
P,398.0,1398.0
P,398.0,1598.0
P,398.0,1798.0
P,398.0,1998.0
P,448.0,398.0
P,448.0,598.0
P,448.0,648.0
P,446.0,798.0
P,448.0,798.0
P,448.0,848.0
P,578.0,398.0
P,578.0,448.0
P,578.0,598.0
P,578.0,648.0
P,578.0,798.0
P,578.0,848.0
P,598.0,198.0
P,598.0,398.0
P,598.0,398.0
P,598.0,449.0
P,598.0,598.0
P,598.0,649.0
P,598.0,798.0
P,598.0,849.0
P,596.0,798.0
P,598.0,798.0
P,598.0,798.0
P,598.0,998.0
P,598.0,1049.0
P,598.0,1198.0
P,598.0,1398.0
P,598.0,1598.0
P,598.0,1798.0
P,598.0,1998.0
P,798.0,398.0
C,198.0,798.0
C,298.0,798.0
C,398.0,98.0
C,398.0,198.0
C,398.0,398.0
C,398.0,798.0
C,446.0,398.0
C,598.0,98.0
C,598.0,198.0
C,596.0,198.0
C,598.0,148.0
C,598.0,298.0
C,598.0,398.0
C,596.0,398.0
C,598.0,598.0
C,598.0,798.0
C,798.0,98.0
C,798.0,198.0
C,798.0,398.0
C,798.0,598.0
