Color CUBRO,Gama,NCS,RAL,HEX
Zafiro,Laca,No disponible,260 40 15,#6F7C8C
Negro,Laca,S 9000-N,9011,#1C1C1C
Ave,Laca,S 4005-Y80R,4009,#8D5A4A
Curry,Laca,3020-Y30R,No disponible,#C89A3D
Roto,Laca,S 1005-Y80R,9011,#F3EDE2
Marga,Laca,S 3030-Y70R,3012,#B56A6B
Celeste,Laca,S 2500-N,No disponible,#A9C7D8
Humo,Laca,2002-G,7035,#D7D9D2
Blanco,Laca,S 0500-N,9003,#F4F4F4
Argil,Laca,S 6020-Y90R,No disponible,#7E6C72
Crema,Laca,No disponible,9010,#F2EAD7
Seda,Laca,S 2002-Y50R,No disponible,#D8C8BD
Noche,Laca,S 7020-R80B,5011,#1F3A5F
Tinta,Laca,S 6500-N,No disponible,#4E5357
Pino,Laca,S 7005-B80G,No disponible,#394B46
Blanco,Laminado,S 0500-N,9016,#F4F4F4
Pale,Laminado,S 1020-Y,1015,#E6D2B5
Rosa,Laminado,S 0520-Y80R,3015,#D8A3A7
Cadaques,Laminado,S 3020-R80B,5014,#7A8FA8
Caraibi,Laminado,S 1020-G10Y,6019,#BFD8BE
Sable,Laminado,S 1505-Y20R,1015,#CBB89A
Agave,Laminado,S 2010-G20Y,7038,#B5B8A6
Sahara,Laminado,S 3005-Y50R,1019,#A67C52
Graphite,Laminado,S 7000-N,7010,#4A5451
Fes,Laminado,S 8010-R70B,5011,#1F3A5F
Noir,Laminado,S 8502-B,7021,#2F3338
Brick,Laminado,S 5030-Y70R,No disponible,#8A4F3D
Perle,Laminado,S 2002-G,7035,#D7D9D2
Blush,Laminado,S 3020-Y90R,No disponible,#C9A7A8
Comodoro,Laminado,S 7005-B80G,7011,#5B6368
Marble Green,Laminado,S 4020-G10Y,No disponible,#7E9A86
Metal,Laminado,No disponible,No disponible,#C6C6C6
Mushroom,Linóleo,S 2002-Y,080 80 05,#D8D0C3
Smokey Blue,Linóleo,S 7010-R90B,5008,#3B4D5A
Conifer,Linóleo,S 8010-B90G,6009,#2F4A3B
Pistachio,Linóleo,S 2010-G30Y,6019,#BFD8BE
Olive,Linóleo,S 5010-G50Y,7033,#7A7E5C
Pewter,Linóleo,S 7005-B20G,7011,#5B6368
Vapour,Linóleo,S 2005-G10Y,9018,#DDE9E4
